"Date","Price","Open","High","Low","Vol.","Change %"
"Jan 01, 2018","9,434.50","9,500.20","9,518.90","9,421.70","2.17M","-0.59%"
"Dec 29, 2017","9,490.65","9,456.80","9,496.40","9,454.65","2.60M","0.58%"
"Dec 28, 2017","9,435.85","9,450.25","9,481.10","9,425.80","2.44M","-0.03%"
"Dec 27, 2017","9,438.25","9,478.15","9,493.85","9,413.25","1.97M","-0.34%"
"Dec 26, 2017","9,470.35","9,452.00","9,477.40","9,427.90","1.57M","0.41%"
"Dec 22, 2017","9,431.50","9,408.75","9,440.20","9,402.25","1.39M","0.47%"
"Dec 21, 2017","9,387.75","9,391.30","9,399.75","9,364.30","1.85M","0.26%"
"Dec 20, 2017","9,363.45","9,386.65","9,398.95","9,351.00","1.47M","0.03%"
"Dec 19, 2017","9,360.45","9,300.85","9,367.05","9,297.75","992.14K","0.97%"
"Dec 18, 2017","9,270.85","9,162.55","9,318.65","9,000.40","1.13M","0.59%"
"Dec 15, 2017","9,216.75","9,217.80","9,242.85","9,207.60","989.84K","0.91%"
"Dec 14, 2017","9,133.65","9,135.25","9,150.25","9,043.85","883.77K","0.35%"
"Dec 13, 2017","9,101.80","9,155.85","9,197.55","9,078.80","1.06M","-0.60%"
"Dec 12, 2017","9,156.50","9,237.15","9,237.60","9,149.35","903.76K","-0.82%"
"Dec 11, 2017","9,231.90","9,232.25","9,241.15","9,205.20","960.85K","0.45%"
"Dec 08, 2017","9,190.55","9,136.60","9,197.05","9,135.40","1.25M","0.96%"
"Dec 07, 2017","9,103.05","9,005.75","9,114.40","9,005.55","933.06K","1.27%"
"Dec 06, 2017","8,988.55","9,034.85","9,050.95","8,981.95","889.92K","-0.75%"
"Dec 05, 2017","9,056.60","9,052.45","9,074.95","8,995.00","882.29K","-0.03%"
"Dec 04, 2017","9,059.35","9,106.70","9,110.85","9,023.60","857.21K","-0.01%"
"Dec 01, 2017","9,060.40","9,191.45","9,209.15","9,046.70","1.04M","-1.03%"
"Nov 30, 2017","9,154.50","9,220.35","9,220.35","9,143.40","1.64M","-0.98%"
"Nov 29, 2017","9,244.70","9,265.50","9,280.65","9,231.65","1.02M","-0.10%"
"Nov 28, 2017","9,254.30","9,266.30","9,286.85","9,234.80","1.18M","-0.14%"
"Nov 27, 2017","9,267.50","9,228.20","9,272.85","9,212.95","1.06M","0.23%"
"Nov 24, 2017","9,246.05","9,226.75","9,254.50","9,221.00","1.03M","0.42%"
"Nov 23, 2017","9,207.40","9,212.35","9,226.75","9,164.30","1.03M","0.13%"
"Nov 22, 2017","9,195.70","9,210.85","9,219.95","9,161.75","1.13M","0.11%"
"Nov 21, 2017","9,185.40","9,192.05","9,215.85","9,166.40","1.24M","0.26%"
"Nov 20, 2017","9,161.90","9,143.50","9,169.95","9,122.35","1.06M","0.27%"
"Nov 17, 2017","9,137.10","9,161.80","9,185.50","9,125.15","1.21M","0.80%"
"Nov 16, 2017","9,065.00","9,005.10","9,078.60","8,993.90","1.22M","1.02%"
"Nov 15, 2017","8,973.75","9,039.85","9,043.15","8,949.00","1.22M","-0.86%"
"Nov 14, 2017","9,051.50","9,085.70","9,106.95","9,042.00","1.22M","-0.34%"
"Nov 13, 2017","9,082.45","9,163.05","9,171.15","9,075.80","1.33M","-0.79%"
"Nov 10, 2017","9,154.95","9,144.75","9,178.40","9,100.35","1.25M","0.08%"
"Nov 09, 2017","9,147.30","9,169.65","9,183.20","9,087.20","1.13M","0.33%"
"Nov 08, 2017","9,117.55","9,183.90","9,201.20","9,097.60","1.19M","-0.57%"
"Nov 07, 2017","9,169.55","9,303.15","9,309.65","9,152.65","1.45M","-1.12%"
"Nov 06, 2017","9,273.10","9,254.30","9,305.75","9,242.25","1.25M","0.13%"
"Nov 03, 2017","9,260.65","9,272.10","9,272.15","9,219.70","1.41M","0.25%"
"Nov 02, 2017","9,237.75","9,243.30","9,264.10","9,217.60","1.27M","0.03%"
"Nov 01, 2017","9,234.85","9,203.95","9,249.15","9,201.05","1.46M","0.89%"
"Oct 31, 2017","9,153.60","9,173.95","9,175.50","9,130.95","1.37M","-0.13%"
"Oct 30, 2017","9,165.10","9,137.55","9,177.20","9,132.15","1.19M","0.67%"
"Oct 27, 2017","9,104.45","9,128.85","9,136.45","9,094.50","1.36M","-0.03%"
"Oct 26, 2017","9,106.75","9,067.20","9,115.15","9,047.40","2.04M","0.46%"
"Oct 25, 2017","9,065.15","9,089.50","9,103.00","9,017.80","2.29M","0.79%"
"Oct 24, 2017","8,993.80","9,002.70","9,017.90","8,973.70","1.06M","0.23%"
"Oct 23, 2017","8,972.90","8,961.95","8,998.20","8,922.75","1.02M","0.39%"
"Oct 19, 2017","8,937.65","8,992.95","8,994.80","8,915.10","-","-0.52%"
"Oct 18, 2017","8,984.65","8,991.65","9,005.90","8,957.05","928.56K","-0.20%"
"Oct 17, 2017","9,002.35","8,988.75","9,011.10","8,972.80","950.65K","0.19%"
"Oct 16, 2017","8,985.25","8,974.25","9,000.10","8,937.65","980.77K","0.54%"
"Oct 13, 2017","8,937.20","8,916.65","8,954.65","8,913.95","1.07M","0.53%"
"Oct 12, 2017","8,890.05","8,818.60","8,895.70","8,784.65","956.78K","1.11%"
"Oct 11, 2017","8,792.40","8,865.75","8,886.80","8,760.65","1.16M","-0.50%"
"Oct 10, 2017","8,836.40","8,823.45","8,848.60","8,816.55","1.01M","0.43%"
"Oct 09, 2017","8,798.30","8,799.80","8,824.75","8,774.65","1.01M","0.12%"
"Oct 06, 2017","8,787.40","8,729.95","8,793.40","8,729.00","1.01M","0.93%"
"Oct 05, 2017","8,706.45","8,721.75","8,746.15","8,699.75","866.18K","-0.00%"
"Oct 04, 2017","8,706.85","8,687.80","8,725.85","8,658.30","848.30K","0.51%"
"Oct 03, 2017","8,662.40","8,689.75","8,691.90","8,640.80","850.20K","0.73%"
"Sep 29, 2017","8,600.00","8,597.80","8,653.50","8,586.50","984.53K","0.50%"
"Sep 28, 2017","8,557.10","8,529.15","8,571.95","8,476.30","1.39M","0.42%"
"Sep 27, 2017","8,520.95","8,700.35","8,700.35","8,502.40","992.82K","-1.54%"
"Sep 26, 2017","8,654.60","8,641.10","8,677.50","8,592.90","949.78K","0.19%"
"Sep 25, 2017","8,638.30","8,737.85","8,738.05","8,574.80","1.15M","-1.14%"
"Sep 22, 2017","8,738.00","8,886.70","8,887.05","8,726.25","1.08M","-1.94%"
"Sep 21, 2017","8,911.20","8,942.00","8,957.55","8,845.90","1.08M","-0.30%"
"Sep 20, 2017","8,938.40","8,970.35","8,976.75","8,932.70","1.10M","-0.15%"
"Sep 19, 2017","8,951.75","8,967.80","8,970.10","8,930.10","1.20M","0.05%"
"Sep 18, 2017","8,946.90","8,932.90","8,963.80","8,931.80","999.08K","0.67%"
"Sep 15, 2017","8,887.60","8,864.00","8,906.80","8,839.25","1.23M","0.03%"
"Sep 14, 2017","8,884.95","8,894.75","8,918.70","8,865.90","1.01M","0.20%"
"Sep 13, 2017","8,866.85","8,900.75","8,928.10","8,853.10","1.18M","-0.27%"
"Sep 12, 2017","8,890.65","8,854.85","8,894.20","8,833.75","1.05M","0.90%"
"Sep 11, 2017","8,810.95","8,789.30","8,830.40","8,782.55","1.01M","0.70%"
"Sep 08, 2017","8,749.95","8,785.70","8,792.05","8,729.95","1.04M","-0.08%"
"Sep 07, 2017","8,757.15","8,766.20","8,785.90","8,747.90","1.03M","0.28%"
"Sep 06, 2017","8,732.40","8,703.30","8,745.70","8,686.95","1.03M","-0.17%"
"Sep 05, 2017","8,747.20","8,723.00","8,754.90","8,698.40","889.16K","0.54%"
"Sep 04, 2017","8,700.35","8,763.75","8,765.80","8,639.90","1.04M","-0.63%"
"Sep 01, 2017","8,755.25","8,717.05","8,763.30","8,700.45","1.06M","0.69%"
"Aug 31, 2017","8,694.95","8,683.40","8,700.50","8,647.75","1.36M","0.37%"
"Aug 30, 2017","8,663.15","8,628.45","8,678.70","8,625.80","950.58K","1.07%"
"Aug 29, 2017","8,571.80","8,648.70","8,648.90","8,561.75","914.94K","-1.13%"
"Aug 28, 2017","8,669.60","8,646.30","8,677.35","8,632.75","863.49K","0.74%"
"Aug 24, 2017","8,605.75","8,610.20","8,622.10","8,586.55","896.33K","0.24%"
"Aug 23, 2017","8,585.00","8,536.65","8,589.40","8,523.05","830.98K","1.01%"
"Aug 22, 2017","8,499.30","8,558.95","8,575.95","8,487.10","947.42K","-0.12%"
"Aug 21, 2017","8,509.40","8,618.50","8,635.40","8,497.25","862.64K","-0.99%"
"Aug 18, 2017","8,594.25","8,607.05","8,607.05","8,541.50","966.62K","-0.57%"
"Aug 17, 2017","8,643.30","8,674.15","8,685.25","8,627.40","1.01M","0.09%"
"Aug 16, 2017","8,635.70","8,575.00","8,640.50","8,526.95","1.06M","1.10%"
"Aug 14, 2017","8,541.50","8,479.45","8,558.70","8,477.50","1.11M","1.35%"
"Aug 11, 2017","8,427.70","8,395.40","8,487.75","8,371.20","1.41M","-0.82%"
"Aug 10, 2017","8,497.75","8,603.70","8,606.90","8,443.10","1.29M","-1.61%"
"Aug 09, 2017","8,637.15","8,709.10","8,711.90","8,620.70","1.22M","-1.03%"
"Aug 08, 2017","8,726.85","8,820.85","8,831.05","8,695.50","1.19M","-0.90%"
"Aug 07, 2017","8,806.45","8,789.85","8,822.40","8,784.15","991.04K","0.34%"
"Aug 04, 2017","8,776.20","8,722.70","8,784.95","8,705.05","1.06M","0.54%"
"Aug 03, 2017","8,729.30","8,788.35","8,788.35","8,715.05","1.22M","-0.65%"
"Aug 02, 2017","8,786.85","8,831.50","8,832.80","8,765.95","1.01M","-0.29%"
"Aug 01, 2017","8,812.60","8,815.25","8,820.75","8,786.05","835.15K","0.22%"
"Jul 31, 2017","8,793.30","8,767.05","8,799.30","8,752.25","1.02M","0.52%"
"Jul 28, 2017","8,747.45","8,715.75","8,755.95","8,691.35","1.28M","0.12%"
"Jul 27, 2017","8,737.10","8,783.30","8,817.35","8,724.70","1.71M","-0.13%"
"Jul 26, 2017","8,748.75","8,727.35","8,753.40","8,717.35","1.58M","0.44%"
"Jul 25, 2017","8,710.60","8,735.20","8,735.85","8,693.30","1.22M","0.09%"
"Jul 24, 2017","8,702.85","8,687.90","8,719.45","8,676.20","1.48M","0.38%"
"Jul 21, 2017","8,669.75","8,663.85","8,678.15","8,602.60","1.41M","0.33%"
"Jul 20, 2017","8,641.60","8,678.05","8,680.35","8,634.30","951.25K","-0.24%"
"Jul 19, 2017","8,662.15","8,617.95","8,665.60","8,616.15","1.12M","0.84%"
"Jul 18, 2017","8,589.80","8,605.40","8,642.35","8,579.95","1.11M","-0.80%"
"Jul 17, 2017","8,659.50","8,659.70","8,668.00","8,637.45","1.08M","0.22%"
"Jul 14, 2017","8,640.70","8,664.30","8,664.30","8,599.50","916.14K","-0.06%"
"Jul 13, 2017","8,646.30","8,620.55","8,649.65","8,619.20","886.92K","0.71%"
"Jul 12, 2017","8,585.50","8,564.30","8,591.65","8,552.25","977.09K","0.48%"
"Jul 11, 2017","8,544.90","8,580.00","8,596.95","8,539.60","1.02M","-0.14%"
"Jul 10, 2017","8,556.95","8,521.15","8,563.85","8,465.50","264.84K","0.91%"
"Jul 07, 2017","8,479.45","8,480.15","8,494.35","8,457.25","1.10M","-0.03%"
"Jul 06, 2017","8,481.75","8,470.25","8,506.15","8,463.55","1.03M","0.36%"
"Jul 05, 2017","8,451.50","8,419.40","8,456.40","8,412.40","971.20K","0.49%"
"Jul 04, 2017","8,410.70","8,442.90","8,450.80","8,394.80","934.76K","-0.07%"
"Jul 03, 2017","8,416.40","8,380.00","8,423.45","8,348.40","913.30K","1.02%"
"Jun 30, 2017","8,331.60","8,280.10","8,343.80","8,250.30","1.12M","0.37%"
"Jun 29, 2017","8,301.10","8,308.40","8,352.95","8,292.75","1.51M","0.26%"
"Jun 28, 2017","8,279.70","8,286.70","8,303.10","8,249.10","1.01M","-0.07%"
"Jun 27, 2017","8,285.50","8,372.35","8,382.15","8,249.50","1.18M","-0.83%"
"Jun 23, 2017","8,355.10","8,435.60","8,438.35","8,332.70","1.16M","-0.82%"
"Jun 22, 2017","8,423.85","8,455.90","8,496.00","8,412.10","1.22M","-0.23%"
"Jun 21, 2017","8,443.60","8,451.55","8,454.95","8,424.05","917.61K","-0.12%"
"Jun 20, 2017","8,454.00","8,467.30","8,475.90","8,444.75","768.61K","0.01%"
"Jun 19, 2017","8,453.10","8,446.95","8,467.45","8,428.70","687.27K","0.50%"
"Jun 16, 2017","8,411.45","8,416.55","8,440.95","8,392.20","1.02M","0.13%"
"Jun 15, 2017","8,400.20","8,420.85","8,427.70","8,383.55","1.01M","-0.24%"
"Jun 14, 2017","8,420.80","8,421.05","8,424.95","8,381.10","938.12K","0.15%"
"Jun 13, 2017","8,408.00","8,415.75","8,448.50","8,396.70","885.82K","-0.01%"
"Jun 12, 2017","8,408.70","8,439.00","8,439.15","8,392.25","780.96K","-0.52%"
"Jun 09, 2017","8,452.75","8,427.15","8,459.20","8,398.50","783.40K","0.28%"
"Jun 08, 2017","8,429.15","8,451.75","8,456.85","8,415.55","737.19K","-0.03%"
"Jun 07, 2017","8,431.50","8,420.10","8,442.00","8,400.20","798.78K","0.41%"
"Jun 06, 2017","8,397.20","8,457.45","8,460.50","8,383.75","774.63K","-0.46%"
"Jun 05, 2017","8,435.75","8,418.65","8,448.30","8,404.50","817.89K","0.35%"
"Jun 02, 2017","8,406.55","8,403.95","8,416.85","8,385.10","1.21M","0.47%"
"Jun 01, 2017","8,367.15","8,343.85","8,374.65","8,338.05","922.03K","0.19%"
"May 31, 2017","8,350.95","8,344.25","8,369.10","8,330.20","1.57M","0.26%"
